Image;Length;Diameter;Branches 
P0-1_0D1  ;1830.938;6.7264672;10
P0-1_0D2  ;1719.612;8.8283414;16
P0-1_0D3  ;1902.818;7.5629433;18
P0-1_0D4  ;1531.718;9.8584294;8
P0-1_0D5  ;1788.746;7.3314798;12
P0-1_0D6  ;1731.928;8.0217251;11
P0-1_0D7  ;2553.014;7.0577261;40
P0-1_0D8  ;2214.75;8.9448558;24
P0-1_3D1  ;2661.942;8.0125;31
P0-1_3D2  ;1388.226;10.650546;9
P0-1_3D3  ;1496.936;9.2925;9
P0-1_3D4  ;1846.182;9.6801643;17
P0-1_3D5  ;1902.386;9.3652899;4
P0-1_3D6  ;1680.4;10.86365;4
P0-1_3D7  ;1988.268;9.1643026;10
P0-1_3D8  ;1342.734;9.823374;11
P0-1_4D1  ;1548.4;9.9539952;6
P0-1_4D2  ;1333.508;10.249173;12
P0-1_4D3  ;1666.102;9.9553082;11
P0-1_4D4  ;1474.732;9.282967;7
P0-1_4D5  ;1170.78;12.246783;4
P0-1_4D6  ;1626.692;12.622165;13
P0-1_4D7  ;1467.426;13.020825;4
P0-1_4D8  ;1620.368;12.660807;13
P0-1_7D1  ;566.716;10.15527;2
P0-1_7D2  ;707.462;9.91248;2
P0-1_7D3  ;1050.776;9.994394;4
P0-1_7D4  ;1232.064;9.6087932;9
P0-1_7D5  ;1985.014;8.015911;15
P0-1_7D6  ;2043.108;8.597776;18
P0-1_7D7  ;1778.712;8.531053;10
P0-1_7D8  ;1985.014;8.015911;15
P0-1_10D1 ;1315.48;8.2446451;12
P0-1_10D3 ;1538.962;7.6974295;10
P0-1_10D4 ;1362.722;8.2822712;10
P0-1_10D5 ;1515.622;8.2376109;12
P0-1_10D6 ;1381.466;8.1550262;13
P0-1_10D7 ;1588.266;8.9521927;9
P0-1_10D8 ;1571.192;7.7828714;13
P0-1_14D1 ;1319.906;7.8258403;8
P0-1_14D2 ;1427.622;8.3513889;7
P0-1_14D3 ;1749.272;8.0215873;11
P0-1_14D4 ;1692.222;7.0341055;7
P0-1_14D5 ;1198.76;7.3870892;7
P0-1_14D6 ;1175.11;8.8038886;14
P0-1_14D7 ;1621.666;7.6051642;13
P0-1_14D8 ;1481.712;8.1879955;8
P0-1_21D1 ;2123.834;7.8308251;19
P0-1_21D2 ;1054.252;7.332618;4
P0-1_21D3 ;882.004;8.368987;3
P0-1_21D4 ;881.648;7.31761;7
P0-1_21D5 ;2496.316;8.2940784;14
P0-1_21D6 ;1313.024;8.3214135;8
P0-1_21D8 ;1195.456;8.7953686;9
P0-3_0D1  ;2197.626;8.4594526;27
P0-3_0D2  ;1829.372;7.9004478;17
P0-3_0D3  ;2084.838;7.2827109;25
P0-3_0D4  ;1872.3;8.0746116;9
P0-3_0D5  ;2441.228;7.714089;27
P0-3_0D6  ;1973.052;8.5880272;20
P0-3_0D7  ;2170.406;9.2096939;27
P0-3_0D8  ;2004.406;7.641606;18
